x,N2834
0,5303.23
1,5398.27
2,5377.98
3,5346.32
4,5298.88
5,5313.94
6,5274.03
7,5245.54
8,5261.73
9,5135.24
10,5104.96
11,5162.13
12,5113.61
13,5118.38
14,5144.15
15,5020.32
16,5037.74
17,5021.75
18,4952.28
19,4935.58
20,4895.67
21,4829.73
22,4916.11
23,4929.27
24,4954.12
25,4987.73
26,4962.37
27,5016.37
28,5021.03
29,5033.02
30,4977.13
31,4996.85
32,4995.21
33,5018.01
34,4998.29
35,4998.29
36,4932.76
37,4939.83
38,4914.93
39,4910.01
40,4979.94
41,5018.93
42,5052.03
43,5062.38
44,5106.03
45,5081.39
46,5131.39
47,5102.75
48,5138.87
49,5120.33
50,5129.75
51,5124.12
52,5141.49
53,5137.03
54,5196.66
55,5238.22
56,5217.06
57,5193.33
58,5134.67
59,5162.59
60,5171.3
61,5230.22
62,5232.32
63,5204.4
64,5185.39
65,5169.66
66,5226.94
67,5196.15
68,5192.41
69,5179.96
70,5182.78
71,5195.23
72,5200.15
73,5235.86
74,5235.86
75,5245.23
76,5246.16
77,5187.49
78,5148.04
79,5112.13
80,5054.39
81,5033.48
82,5049.93
83,5065.2
84,5007.2
85,5019.4
86,5045.01
87,5071.5
88,5085.59
89,5114.95
90,5147.12
91,5179.3
92,5180.22
93,5180.42
94,5284.89
95,5308.77
96,5305.43
97,5297.8
98,5300.67
99,5293.75
100,5321.88
101,5308.82
102,5308.56
103,5294.78
