id,low,hi,m,q,costAIC
3,0,7,-22.0238,3545.83,96.1409
997,8,13,28.5714,3583.33,55.7762
1702,14,19,-147.143,6386.19,76.198
2372,20,26,62.5,2941.07,68.7729
3105,27,31,-200,10130,67.4645
3601,32,37,41.4286,3379.05,59.1288
4161,38,42,-330,17870,67.357
4604,43,50,11.9048,4396.43,87.0979
5253,51,55,-250,18040,69.7907
5630,56,62,7.14286,4907.14,67.8105
6111,63,67,-225,19705,69.444
6428,68,74,25,3939.29,71.0546
6825,75,79,-285,27455,70.5486
7082,80,86,14.2857,4778.57,70.7524
7395,87,91,-340,35920,71.0547
7593,92,99,33.3333,3266.67,79.9159
7850,100,104,-20,7800,73.13
7981,105,110,18.5714,4611.9,57.3091
8103,111,115,-440,55890,72.1116
8179,116,121,134.286,-8812.86,54.4964
8235,122,126,-535,73440,71.0184
8255,127,131,260,-25830,54.046
