x,N1918
0,5006.9
1,5165.1
2,4975.5
3,4983.6
4,5105.4
5,5025.5
6,4847.8
7,4963.3
8,4796
9,5042
10,5027.8
11,4668.3
12,4646.2
13,4912.4
14,5040.5
15,5100.9
16,5143.3
17,4998.2
18,5053.2
19,5024.4
20,5298.8
21,4946.7
22,4871.8
23,4563.4
24,4580.1
25,4909.2
26,5002.2
27,5126.9
28,5060.4
29,4946.7
30,4810.4
31,4589.3
32,4408
33,4558.3
34,4509.1
35,4330.7
36,4769.8
37,4925.6
38,4679.1
39,4775.3
40,4707.1
41,4609
42,4644
43,4640.6
44,4435.9
45,4574.1
46,4502.7
47,4291.8
48,4479.2
49,3929.8
50,3859.9
51,4065.2
52,3741.4
53,3651.2
54,3652.7
55,3532.4
56,3607.3
57,3778.1
58,4019.4
59,3884.3
60,3849.9
61,4041.5
62,4215.9
63,4116.9
64,4231.8
65,4212.3
66,4066.1
67,4147.6
68,4060.1
69,4192
70,4248.5
71,3991.2
72,4100.9
73,4215.5
74,4302.4
75,4253
76,4269.1
77,4192.5
78,4101.9
79,4249.9
80,4134.3
81,4288.1
82,4383.6
83,4192.6
84,4057.1
85,4234.9
86,4419.8
87,4462.2
88,4464.4
89,4329.5
90,4413
91,4323.4
92,4214.9
93,4452.6
94,4484
95,4229.6
96,4229.3
97,4362.8
98,4442
99,4451.5
100,4455.2
101,4354.9
102,4408.8
103,4386.5
104,4350
105,4448.4
106,4492.3
107,4205.3
108,4369.7
109,4489.4
110,4515.5
111,4536.9
112,4440.8
113,4446.6
114,4477.4
115,4367.5
116,4395.6
117,4528.1
118,4554.3
119,4316.2
120,4481.7
121,4719
122,4854.7
123,4819.5
124,4704.1
125,4607.9
126,4544.3
127,4450.8
128,4348.6
129,4410.3
130,4563.8
131,4405.8
132,4520.8
133,4857.9
134,4972.6
135,4894.7
136,4814.5
137,4621.5
138,4529.7
139,4540.7
140,4432.7
141,4506.9
142,4664.6
143,4591.4
