id,low,hi,m,q,costAIC
1,0,5,975.257,354.19,86.0721
766,6,11,-1881.37,21426,79.5743
1495,12,17,1000.66,-11590.4,85.8054
2188,18,23,-1813.03,42422.8,83.1958
2844,24,28,724.2,-16598.4,64.2384
3368,29,37,-1086.12,40391.5,135.305
4238,38,43,1772.2,-65715.9,83.0116
4775,44,49,-861.714,42862.7,85.2516
5275,50,54,2030.9,-100110,68.1708
5665,55,59,-2123.1,126083,71.4153
6031,60,65,1199.74,-71540.4,87.3733
6436,66,71,-1982.23,141603,83.0916
6805,72,77,1219.34,-87315.2,86.5122
7138,78,83,-1974.66,164868,83.1326
7435,84,89,1158.6,-96776.4,86.3224
7696,90,95,-1923.51,183469,83.5256
7921,96,101,1128.57,-107783,85.9713
8110,102,107,-2076.46,223067,86.2662
8265,108,115,1458.93,-157335,114.564
8411,116,121,-1024.66,124504,88.7839
8480,122,127,1966,-238123,84.2592
8513,128,133,-1117.03,148910,88.857
