x,N2465
0,3300
1,3500
2,3600
3,3650
4,3800
5,3600
6,2750
7,3550
8,3750
9,3900
10,3950
11,3850
12,3850
13,4000
14,4150
15,4250
16,4250
17,4200
18,3050
19,3850
20,4200
21,4300
22,4400
23,4250
24,4300
25,4550
26,4650
27,4700
28,4750
29,4450
30,3350
31,4400
32,4650
33,4750
34,4950
35,4750
36,4800
37,4950
38,4900
39,5150
40,5100
41,4750
42,3450
43,4600
44,5000
45,5050
46,5200
47,5000
48,4900
49,5050
50,4800
51,5200
52,5250
53,5150
54,3550
55,4800
56,5250
57,5400
58,5400
59,5300
60,5200
61,5300
62,5450
63,5500
64,5550
65,5250
66,3900
67,5200
68,5600
69,5750
70,5800
71,5500
72,5700
73,5850
74,5800
75,6050
76,6000
77,5800
78,4150
79,5550
80,6000
81,5900
82,6050
83,5800
84,5850
85,6050
86,6100
87,6300
88,6300
89,5850
90,4200
91,5650
92,6250
93,6500
94,6550
95,6250
96,6400
97,6500
98,6500
99,6650
100,6450
101,5800
102,4350
103,5900
104,6300
105,6600
106,6650
107,6450
108,6600
109,6650
110,6700
111,7100
112,6900
113,6250
114,4500
115,6100
116,6700
117,6900
118,7150
119,7150
120,7300
121,7400
122,7550
123,7800
124,7850
125,7050
126,5250
127,7050
128,7550
129,7800
130,8050
131,8100
