x,N1884
0,4815
1,4820
2,4835
3,5020
4,5020
5,5030
6,5060
7,5060
8,5090
9,5095
10,5095
11,5065
12,5055
13,5045
14,5045
15,5100
16,5100
17,5095
18,5160
19,5210
20,5250
21,5250
22,5255
23,5135
24,5220
25,5245
26,5245
27,5365
28,5365
29,5365
30,5210
31,5210
32,5190
33,5180
34,5180
35,5245
36,5245
37,5305
38,5195
39,5235
40,5350
41,5310
42,5245
43,5345
44,5375
45,5375
46,5375
47,5375
48,5375
49,5390
50,5365
51,5365
52,5325
53,5160
54,5315
55,5310
56,5335
57,5335
58,5340
59,5340
60,5335
61,5115
62,5335
63,5255
64,5350
65,4750
66,5225
67,5295
68,5295
69,5290
70,5330
71,5360
72,5370
73,5370
74,5360
75,5360
76,5365
77,5360
78,5360
79,5365
80,5385
81,5295
82,5420
83,5470
84,5475
85,5500
86,5500
87,5490
88,5495
89,5515
90,5465
91,5455
92,5500
93,5460
94,5545
95,5625
96,5715
97,5715
98,5715
99,5710
100,5715
101,5715
102,5670
103,5660
104,5695
105,5695
106,5545
107,5535
108,5535
109,5535
110,5670
111,5680
112,5780
113,5845
114,5840
115,5840
116,5840
117,5845
118,5845
119,5845
120,5855
121,5995
122,5995
123,5985
124,6020
125,6075
126,6075
127,6075
128,6145
129,6145
130,6175
131,6175
132,6175
133,6195
134,6195
135,6200
136,6115
137,6115
138,6195
139,6210
140,6210
141,6210
142,6210
143,6215
