id,low,hi,m,q,costAIC
2,0,6,897.143,3862.86,87.5212
624,7,12,-1165.71,17461,76.737
1119,13,18,1128,-10864,76.5437
1577,19,23,-1308,34268,68.2808
1933,24,29,1373.71,-30950.1,64.5878
2326,30,35,-1088,42786.7,79.8455
2685,36,43,966.19,-31439.5,99.2007
3103,44,49,-1018.29,52623.6,88.3573
3375,50,54,848,-36408,61.8175
3575,55,59,-1556,95572,61.1514
3752,60,66,1188.57,-68034.3,90.5347
3954,67,72,-1161.14,87459.4,85.1617
4088,73,77,1424,-100512,67.1223
4174,78,83,-1512,129549,68.2476
4244,84,90,1072.86,-86927.1,95.3748
4277,91,95,-1312,129128,63.6527
