x,N1907
0,1514.9
1,1775.5
2,2572.9
3,2821.3
4,3098.4
5,3538.8
6,3452.7
7,3595.7
8,3535.1
9,3410.6
10,2743.1
11,2271.8
12,1893.1
13,1766
14,2536.7
15,2838.3
16,3356.9
17,3941.5
18,3726.6
19,4193.1
20,3953.7
21,3905.3
22,3277.1
23,2220.2
24,2035.6
25,2563.8
26,2920.2
27,3434.6
28,4152.7
29,4305.9
30,4211.7
31,4685.1
32,3992.6
33,4325.5
34,3645.2
35,2568.1
36,2177.7
37,2172.3
38,3168.1
39,3941.5
40,4415.4
41,4261.7
42,4594.1
43,4688.3
44,4333.5
45,4596.8
46,3318.6
47,2671.8
48,2890.4
49,2366
50,3234
51,4146.3
52,4319.7
53,4480.9
54,4687.2
55,4658.5
56,4592.6
57,4905.3
58,3508.5
59,3072.3
60,2553.2
61,2488.8
62,3409.6
63,4149.5
64,4319.7
65,4783.5
66,4928.2
67,4563.8
68,4763.8
69,5001.1
70,3829.8
71,3084
72,2097.9
73,2629.3
74,3640.4
75,3992.6
76,4535.6
77,5011.7
78,4380.3
79,4956.4
80,4758
81,4725
82,3975
83,3250.5
84,2717.6
85,2313.3
86,3378.2
87,3926.1
88,4458.5
89,4708.5
90,4378.2
91,5178.2
92,4528.2
93,4929.8
94,4023.4
95,2630.3
96,2961.5
97,2703
98,3520.5
99,3874.4
100,4482.8
101,4651.3
102,4468.7
103,4815.9
104,4256.7
105,4627.2
106,3788.8
107,2542.5
108,2127.3
109,2394.9
110,2723.9
111,3537.9
112,3987.6
113,4003.7
114,4257.7
115,4336.3
116,4029.4
117,4416.3
118,3166.7
119,2604.1
120,2448.2
121,2454.1
122,3047.4
123,3765.4
124,4048.2
125,4462.5
126,4391.3
127,4370
128,4423.9
129,4700.1
130,3225.9
131,2782.8
132,2102.2
133,2293.3
134,3066.1
135,3666.5
136,4203.4
137,4662.1
138,4584.7
139,4829.5
140,4652.8
141,4744.8
142,3970.9
143,3175
