x,N2831
0,5000
1,4792.64
2,5302.5
3,5172.77
4,5176.38
5,5276.81
6,5258.25
7,5371.61
8,2145.7
9,3014.7
10,5332.42
11,5136.98
12,4942.18
13,4908.24
14,4853.96
15,4817.09
16,4744.05
17,4699.57
18,4804.79
19,4600.73
20,4797.68
21,5110.08
22,5078.75
23,5018.96
24,4011.86
25,4090.48
26,4913.46
27,4240.02
28,6509.79
29,7859.62
30,6363.76
31,7003.48
32,6958.76
33,6733.07
34,6469.06
35,6330.34
36,6039.73
37,6086.94
38,6109.5
39,6257.65
40,6082.85
41,5741.47
42,5662.94
43,5767.05
44,4777.08
45,5908.48
46,5807.5
47,5975.05
48,6344.21
49,5874.56
50,5909.35
51,5773.7
52,5636.26
53,5596.33
54,5469.31
55,5511.6
56,5692.81
57,6051.92
58,6041.71
59,6172.7
60,3720.53
61,2334.49
62,5925.71
63,6911.53
64,7087.86
65,7285.18
66,7432.69
67,7402.42
68,7213.8
69,7045.13
70,6491.6
71,6688.19
72,6951.72
73,6711.19
74,6119.13
75,5190.13
76,4863.08
77,6420.07
78,6359.25
79,5206.96
80,6865.25
81,6385.85
82,6332.37
83,5316.1
84,6737.33
85,6193.65
86,6574.34
87,6873.75
88,6680.3
89,6426.92
90,6315.48
91,5967.75
92,6702.58
93,6865.46
94,7198.34
95,7059.1
96,5875.23
97,6765.19
98,6546.78
99,6681.54
100,6130.36
101,6383.16
102,6225.59
103,6222.02
