id,low,hi,m,q,costAIC
1,0,5,-769.061,7077.52,76.8419
753,6,10,657.572,-1603.19,57.0793
1355,11,17,-489.814,12426.4,93.6502
2153,18,24,791.182,-11569,76.2083
2900,25,29,-923.584,30351.5,64.2222
3405,30,34,617.284,-15289.6,52.2448
3887,35,41,-588.171,28041,90.0353
4515,42,46,528.714,-18833.4,53.7075
4935,47,51,-295.564,20654.5,55.0498
5334,52,60,486.612,-22888.1,120.823
5979,61,66,-991.374,67225.5,74.6344
6366,67,72,708.929,-44891.6,73.9938
6717,73,78,-671.69,54922.1,70.8798
7032,79,84,664.846,-49227.5,70.6774
7310,85,89,-615.87,59007.9,61.4216
7517,90,96,502.23,-41322.4,75.3
7760,97,101,-698.716,74589.9,61.2472
7905,102,106,342.548,-30977.6,44.9475
8027,107,113,-435.516,53167,85.4907
8151,114,118,342.234,-35365.5,50.5038
8213,119,125,-364.569,49565.3,79.6238
8254,126,131,442.858,-52122.1,63.0847
