id,low,hi,m,q,costAIC
1,0,5,1028.57,3375.24,83.9668
537,6,10,-1204,17976,70.3458
960,11,18,1067.14,-9548.57,111.776
1577,19,23,-1612,40852,67.3096
1934,24,30,1164.29,-24858.6,97.1709
2387,31,35,-1520,57040,67.7082
2684,36,42,957.143,-30871.4,86.2641
3053,43,47,-1260,63268,55.2288
3290,48,54,1141.43,-51795.7,92.375
3575,55,59,-1764,107620,65.0259
3754,60,68,644,-33962.7,126.435
4002,69,73,-188,18604,50.8947
4107,74,78,1392,-98432,57.0554
4187,79,83,-1848,156528,64.677
4244,84,90,1311.43,-107020,98.7845
4277,91,95,-1732,167964,62.4786
