x,N1879
0,9315
1,9636
2,11657.5
3,9169
4,8357
5,8102.5
6,9306
7,6138
8,8419
9,6403.5
10,7490
11,9120
12,8682
13,7654.5
14,8204
15,8360
16,9449.5
17,10713.5
18,7080
19,9863
20,8112
21,8719
22,8973.5
23,8588
24,6927
25,8007
26,9416.5
27,8240
28,7832
29,9263
30,6576.5
31,7632.5
32,7228.5
33,6947.5
34,8044.5
35,7716.5
36,7884.5
37,8436.5
38,9355
39,6512
40,6326
41,7741.5
42,7740.5
43,7607.5
44,7909
45,9525.5
46,10440
47,6820.5
48,9816.5
49,7209
50,9858.5
51,8839
52,9008
53,9346
54,6960.5
55,5459
56,7696.5
57,6341
58,9732
59,5830
60,5424.5
61,5171.5
62,6848
63,7767
64,8724.5
65,9305
66,9243
67,6032.5
68,5208.5
69,5921
70,4863
71,5393
72,5526
73,6226.5
74,7539
75,7600
76,6746
77,7434
78,6006.5
79,6549.5
80,6357.5
81,7013.5
82,6200
83,4706
84,6812
85,6507.5
86,8893.5
87,7386
88,9757
89,7147
90,6453.5
91,7023
92,5609.5
93,5766.5
94,5115.5
95,5215.5
96,5133
97,4427.5
98,5524.5
99,5818.5
100,6056
101,8116.5
102,4959.5
103,5381.5
104,4042.5
105,6155
106,6226
107,3912
108,6016
109,5424.5
110,6525
111,6826
112,7280
113,6972.5
114,5951
115,8384.5
116,5751
117,6521.5
118,7001.5
119,7790.5
120,6086
121,7812.5
122,9932.5
123,9437
124,9409
125,9792.5
126,7727.5
127,7507.5
128,7403
129,6778.5
130,7851.5
131,7338.5
132,8016.5
133,9215.5
134,9215
135,7323.5
136,9636.5
137,8811.5
138,7511.5
139,6983.5
140,10511
141,11278
142,7917.5
143,11259.5
