x,N1882
0,4985
1,4920
2,4945
3,5025
4,5035
5,4805
6,5045
7,5050
8,5060
9,5085
10,5085
11,4965
12,4995
13,5080
14,5065
15,5085
16,4970
17,5110
18,5095
19,5120
20,5135
21,5130
22,5105
23,5105
24,5140
25,5155
26,5135
27,5125
28,5110
29,5115
30,5135
31,5175
32,5185
33,5185
34,5015
35,5015
36,5005
37,5210
38,5210
39,5210
40,4975
41,5260
42,5255
43,5265
44,5305
45,5295
46,5270
47,5270
48,5325
49,5345
50,5350
51,5350
52,5350
53,5350
54,5290
55,5360
56,5400
57,5405
58,5405
59,5415
60,5445
61,5450
62,5475
63,5470
64,5470
65,5490
66,5590
67,5650
68,5665
69,5705
70,5635
71,5780
72,5860
73,5980
74,5985
75,5985
76,6005
77,6005
78,6095
79,6140
80,6160
81,6155
82,6175
83,6230
84,6260
85,6290
86,6300
87,6255
88,6250
89,6250
90,6265
91,6465
92,6550
93,6550
94,6550
95,6490
96,6580
97,6770
98,6825
99,6820
100,6820
101,6715
102,6720
103,6785
104,6785
105,6865
106,6865
107,6900
108,6915
109,7015
110,7015
111,7050
112,7070
113,7070
114,7070
115,7085
116,7085
117,7040
118,7070
119,7110
120,7230
121,7250
122,7190
123,7190
124,7185
125,7185
126,7260
127,7305
128,7305
129,7255
130,7260
131,7360
132,7375
133,7345
134,7410
135,7410
136,7410
137,7410
138,7395
139,7395
140,7405
141,7355
142,7355
143,7425
