x,N2833
0,7310
1,5417.5
2,4907
3,4767.5
4,5300
5,3672.5
6,1942.5
7,5882.5
8,4710.94
9,5195
10,4590
11,3850
12,2482.5
13,3495
14,5352.5
15,5645
16,3572.5
17,6167.5
18,5980
19,5580
20,6815
21,4837.5
22,5352.5
23,7822.5
24,5487.5
25,7384.38
26,6677.5
27,8362.5
28,10115
29,11865
30,11107.5
31,10282.5
32,11070
33,10027.5
34,11085
35,10202.5
36,9365
37,11022.5
38,11285.83
39,12300
40,11585
41,8817.5
42,10022.5
43,9877.5
44,8360
45,8427.5
46,9372.5
47,8463.75
48,7915
49,6777.5
50,6707.5
51,6635
52,6370
53,5890
54,5547.5
55,5260
56,5240
57,4882.5
58,4775
59,4860
60,4932.5
61,5127.5
62,5022.5
63,5202.5
64,5290
65,5232.5
66,5210
67,3735
68,4735
69,3285
70,3280
71,7225
72,7660
73,5257.5
74,5540
75,6366.25
76,7340
77,7987.5
78,9555
79,7422.5
80,8757.5
81,9017.5
82,9010
83,10062.5
84,11322.5
85,8770
86,10277.5
87,12135
88,9717.5
89,10180
90,10095
91,10035
92,10475
93,10712.5
94,11781.25
95,8960
96,9340
97,9472.5
98,8052.5
99,8320
100,6662.5
101,7757.5
102,6345
103,5425
