id,low,hi,m,q,costAIC
0,0,4,40,5180,45.4811
510,5,9,-40,4930,72.6991
996,10,15,12.8571,5047.62,61.1805
1544,16,20,-270,9800,71.7353
1976,21,27,12.5,5442.86,77.1904
2534,28,32,-210,11720,72.7732
2906,33,39,8.92857,5828.57,73.4928
3380,40,44,-300,18260,72.6258
3693,45,52,30.9524,5061.31,85.1038
4145,53,68,-7.86765,6804.12,218.556
4831,69,74,38.5714,4433.81,53.3493
5025,75,79,-760,65130,72.1094
5162,80,86,5.35714,6798.21,79.2799
5307,87,91,-635,63115,71.0046
5383,92,97,98.5714,-1706.67,70.1071
5439,98,102,-135,21260,63.2546
5459,103,107,790,-75530,73.5351
