x,N2832
0,1256
1,3075
2,3109.7
3,3317.5
4,29
5,945
6,3417.5
7,500
8,960.06
9,442
10,2405.5
11,1182.5
12,2295
13,3353.5
14,1880.5
15,4120.5
16,1046
17,3844
18,1643.5
19,1311.5
20,4313.5
21,1470
22,4789.5
23,7152.5
24,4035.5
25,5468.63
26,5347.5
27,5366.5
28,9754
29,13015.5
30,9498.5
31,5200
32,9563.5
33,9901
34,6254
35,2296.5
36,3562.5
37,4775.5
38,9663.08
39,10044
40,5764.5
41,5121
42,1620.5
43,4336.5
44,6665.5
45,3031.5
46,4550.25
47,1936.75
48,2578.5
49,2483
50,5793.5
51,1923
52,4936.5
53,2952
54,2476.25
55,1353
56,2545
57,1670
58,1394
59,28
60,2247
61,4235
62,922.5
63,1893.5
64,1216
65,889
66,1981
67,910
68,1339.5
69,3258.5
70,464.5
71,7398
72,6108.5
73,6422.5
74,1499
75,3406
76,3774
77,3790.5
78,7705
79,9527
80,5733
81,5974.5
82,5018.5
83,7740
84,5258
85,4083
86,7907
87,12564.5
88,8163
89,3647
90,3351
91,2920
92,7485
93,6953
94,8233.25
95,8104
96,5417
97,3876.5
98,5123
99,3364.5
100,1267.5
101,4154.5
102,5611
103,4646.5
