x,N1881
0,1955
1,2180
2,2375
3,2315
4,2060
5,2385
6,2110
7,2375
8,2745
9,1845
10,2445
11,2265
12,1975
13,1890
14,2925
15,2475
16,2240
17,2570
18,2270
19,3025
20,2335
21,2730
22,3060
23,3395
24,2745
25,2630
26,3285
27,2260
28,2560
29,2770
30,2850
31,3180
32,3950
33,3490
34,3790
35,4395
36,3445
37,4310
38,3850
39,3900
40,3710
41,3650
42,3520
43,4465
44,4375
45,4760
46,4540
47,4385
48,3550
49,4020
50,5900
51,4565
52,3645
53,4880
54,2755
55,3925
56,3200
57,3315
58,5605
59,3075
60,2525
61,3145
62,3405
63,4195
64,3465
65,3710
66,3180
67,2885
68,2975
69,3245
70,3175
71,2680
72,2485
73,2180
74,3185
75,2765
76,2430
77,2730
78,2600
79,2955
80,2530
81,2695
82,2270
83,1970
84,1805
85,1720
86,2250
87,2340
88,3375
89,2305
90,2430
91,2905
92,2970
93,3415
94,2935
95,2745
96,2265
97,2350
98,4030
99,3490
100,3095
101,3075
102,3195
103,4970
104,5870
105,6605
106,4030
107,3055
108,3055
109,3320
110,3535
111,5195
112,4495
113,5400
114,4635
115,3660
116,4650
117,5285
118,4240
119,3925
120,5355
121,5970
122,6195
123,5330
124,4940
125,5875
126,6130
127,6340
128,6425
129,7125
130,7695
131,6180
132,6390
133,8015
134,9515
135,7475
136,6845
137,7215
138,8305
139,7160
140,8175
141,7415
142,8260
143,7190
