,t1,t2,HW,theta,RF
0,0,24,948.4871547365698,976.3708390012868,1034.2319632777596
1,0,25,1466.7854154962124,1166.6885560269575,1114.2846263315425
2,0,26,1558.5195826145139,641.7636989626837,674.7032845379017
3,0,27,1381.8928565620447,649.4881774439289,681.6480529631629
4,0,28,1534.8743062270821,746.748678117836,757.1457744173834
5,0,29,1846.5143766461329,1055.405435145436,927.7311439232511
6,0,30,1941.7937322508308,1170.9297055780507,1185.1839005023564
7,0,31,764.6899266240516,875.6986009257884,1258.2236376438518
8,0,32,763.8046225929309,854.5848830834216,1168.5076701821952
9,0,33,631.4572655238187,868.1554579267467,1174.2283081713654
10,0,34,567.4400787986808,873.3257030772497,1180.4575235179527
11,0,35,1068.2807839364964,525.2765876901757,871.3049184442941
12,0,36,959.0763616590295,569.9932242046618,819.7065669421225
13,0,37,1538.9970040717744,485.0971811870855,481.4857611937181
14,0,38,1349.0115942948871,594.7895909507088,541.3768668620314
15,0,39,1276.7858828036165,650.282388138184,512.9508821497365
16,0,40,1341.8791054111582,910.835887194402,779.312566802021
17,0,41,1150.362173754819,1173.2938301836089,1212.3042965486486
18,0,42,1205.4646104064075,1264.6859229773916,1415.287515833053
19,0,43,1230.1792172667786,1311.4382324559183,1421.6127750739138
20,0,44,2062.3475338426792,1414.1707335049564,1593.8072402699306
21,0,45,1979.2134291504904,1441.0951570571024,1569.1180930228459
22,0,46,1377.6063195532336,1353.0397850159889,1402.0380644024308
23,0,47,1779.707150864253,2039.1616147537527,1351.9459915379337
24,0,48,1817.034126559561,2167.7260604586145,1449.5386175063502
25,0,49,2115.6143446809365,2183.1699519426384,1651.406687113009
26,0,50,2047.7472186399614,1988.9719363647325,1602.473013820953
27,0,51,2028.3537921587374,1841.5061657793472,1630.136916485384
28,0,52,1710.025968321648,1306.563115193749,1316.4667022089018
29,0,53,1344.438085554168,1271.420298952769,1066.966772735472
30,0,54,804.2321630055222,807.1591893053879,1025.7146099130132
31,0,55,1027.2313226933659,997.1621746285086,564.2657612195937
32,0,56,1082.2313954640388,1157.4551092110255,1057.0807541077966
33,0,57,1135.5987501340642,1204.1003371541592,974.2966780337903
34,0,58,1356.3529759140276,1444.5237716356464,1164.6693497172548
35,0,59,1432.1981809351962,1486.9351822566884,1349.5979867457188
36,0,60,1444.40204666736,1673.4643899405273,1573.9939931498293
37,0,61,1629.3326957775475,1757.0381194327085,1687.5294931857354
38,0,62,1441.6161206887589,1531.9825129263384,2134.689264013422
39,0,63,1623.580302634786,1789.9116590188278,2220.306526082849
40,0,64,1725.011625124111,1576.4032753249269,2149.415306045639
41,0,65,1630.0031256795596,1775.1255375453109,2130.6191885222656
42,0,66,1472.2982731650166,1419.239122538288,1951.0462174157067
43,0,67,1634.470879097033,1483.5134457368765,1385.5378768779367
44,0,68,1852.525660056998,1626.406568045187,1130.9992708851794
45,0,69,2035.0665564341236,1843.8924028423767,1737.2048807272379
46,0,70,1643.315805094216,1547.591724502228,1745.859952703353
47,0,71,1535.4687051180963,1588.2320233136,2166.663615552125
48,0,72,1592.6367392820075,1694.4649630926094,2334.622493053313
49,0,73,1632.889566448722,2235.311005316315,2593.6045417864425
50,0,74,1561.0472893224119,1714.916817460732,2366.996331437974
51,0,75,1023.5036245248893,1197.6754224577014,2067.2777227639785
52,0,76,897.2334411925907,981.6068027729087,1989.3485361262663
53,0,77,681.786677472174,527.4262790572602,2062.7941763072786
54,0,78,757.84719942902,579.0043659436627,1373.9339093472033
55,0,79,845.9857781120992,656.2441640338856,637.2797787107946
56,0,80,809.7000689803975,629.7250836381369,2256.7263837277055
57,0,81,815.260948054633,638.6474781700298,725.259967524039
58,0,82,470.2285283658567,474.58042357566353,2178.6727364805074
59,0,83,685.1329489931452,519.9594630904751,1611.4289682483568
60,0,84,718.5667271550416,661.5334457299527,821.4795977328262
61,0,85,841.4615212895947,752.6281516098146,857.7278341897609
62,0,86,737.3944593911745,685.5829945940776,1758.2502915533664
63,0,87,869.0618003505951,845.174881579219,1523.0238263069411
64,0,88,862.2240665073455,814.6844791143634,1381.8103456884267
65,0,89,1422.5248687522262,1308.6697814349739,1072.1817039413352
66,0,90,1617.3696433793043,1466.3946405470213,1092.2167855420348
67,0,91,1374.4914273557438,1260.5981075268096,994.1515181671401
68,0,92,1364.2775064914142,1259.6210507807937,922.1198677327686
69,0,93,1206.7401289344089,1027.678217031008,1313.7216141768342
70,0,94,1172.872928648772,1066.8077655305972,1345.4901460631022
71,0,95,1141.8349572429147,1421.2956436077566,1906.3499946652712
72,0,96,1008.7258948726094,1094.2352492508478,1136.4047907778374
73,0,97,1101.7617102607114,1203.036759224058,1892.4331496959533
74,0,98,1503.6982232971832,1598.1402910624672,2336.594454755431
75,0,99,1498.0379636419361,1635.9161852019038,2195.511608631316
76,0,100,1317.875822451969,1474.1883871574723,2003.5680924110259
77,0,101,884.1598450537161,1058.2280213381257,1712.8786000778744
78,0,102,1174.6229741662917,1030.211442438167,1626.8950932083526
79,0,103,908.6531570966953,941.7926708572163,1230.0168044685147
80,0,104,820.9840762063378,812.3405089701602,788.4567438050433
81,0,105,1043.5621039152036,938.0986868918689,643.4674834756128
82,0,106,1093.3640728292314,984.771757459955,665.9586314159097
83,0,107,1183.6451809036505,1063.2815482452647,678.8423112134928
84,0,108,863.2090358239687,811.6131712975396,2216.992073414855
85,0,109,853.5731040822375,830.303157637677,780.9667194113416
86,0,110,854.8225120711172,829.2925623572023,776.1167265657378
87,0,111,933.2443692514985,834.6539319545101,699.6840498499407
88,0,112,724.0265392064847,742.301528813159,807.44686802137
89,0,113,825.2931868106706,765.8849857678794,752.659006229432
90,0,114,645.1719562528863,847.8748925394457,712.0920072774975
91,0,115,654.3830553282615,636.600524373368,461.46139586894003
92,0,116,1586.217624779144,1463.2928792231332,1290.0647318945983
93,0,117,1664.9968447022766,1539.054763815677,1421.7478378190592
94,0,118,1568.3740346926227,1374.1097434468868,1172.6762191958676
95,0,119,1627.5718200332412,1295.05538445846,1148.6875946685811
96,0,120,1756.6867187174857,1655.4543105871826,1539.842953349143
97,0,121,1779.5774930925895,1583.126241366574,1519.2437545003281
98,0,122,902.0522173823658,879.9452295057121,563.310531186045
99,0,123,1381.4010813866892,1325.3488453214204,1164.3411241064734
100,0,124,1728.7342036204402,1666.0362778242893,1303.077234550849
101,0,125,1830.0594771712188,1771.4454505133108,1620.0803333402112
102,0,126,1466.1851212382153,1444.656071213729,1153.0926350174827
103,0,127,1753.1887048364435,1700.6937351309246,1456.6724897145468
104,0,128,1374.0625592939095,1354.5370766107392,1129.9981990299557
105,0,129,790.5521054885902,805.3953396097297,684.2284559452856
106,0,130,580.6856701909463,574.66033756985,687.336415776013
107,0,131,666.8046494931646,649.6581373296175,677.507613308907
108,0,132,781.1633389118056,762.2401476804134,759.0196946890763
109,0,133,641.0210499931337,641.4901288899493,695.4044601013344
110,0,134,779.2381894049269,779.4481247843676,804.2447194661847
111,0,135,778.1208774967488,768.2345739194235,758.2953449797353
112,0,136,892.7505352061676,858.9476566716564,776.4404571190947
113,0,137,995.9981253103774,962.3025521828893,811.4113525925925
114,0,138,961.6050161487259,938.4050152024847,814.0694801816521
115,1,25,1383.033074661866,1138.6356812647907,1121.37252239174
116,1,26,1572.8560420401636,697.0853931331611,741.9340580394694
117,1,27,1414.3283546329417,688.449435349073,756.5126681479454
