x,Q14640
0,13137.60197
1,6344.59785
2,6892.42704
3,7519.6723
4,13528.00118
5,5669.69214
6,7148.34608
7,7466.15082
8,12853.79911
9,6330.38272
10,7156.17308
11,7536.3155
12,13123.97034
13,6282.31253
14,7151.93641
15,7208.43213
16,12554.57862
17,10820.50512
18,7602.52328
19,7418.23203
20,10898.04561
21,6321.84204
22,7482.1744
23,7038.37879
24,11816.14234
25,6549.84226
26,7504.93722
27,7152.68345
28,11863.92542
29,6233.62332
30,7696.86402
31,7390.86749
32,11273.96684
33,8003.56224
34,7816.51867
35,7409.97523
36,11974.98771
37,6411.79098
38,7917.40689
39,7211.90881
40,10672.98517
41,7013.395
42,7806.31958
43,7353.27875
44,10741.86242
45,6896.30636
46,7315.32171
47,7644.79015
48,10702.73742
49,6564.26703
50,7699.53363
51,7869.48327
52,10983.86231
53,7439.38972
54,8345.93392
55,6701.29328
56,10351.90229
57,6598.41562
58,8237.69689
59,7566.89511
60,11244.33903
61,7371.26069
62,8096.2175
63,7656.19361
64,10369.5035
65,7281.57067
66,7004.26373
67,7915.35
68,11349.16208
69,6986.95614
70,8229.87469
71,8700.48486
72,11139.1618
73,7615.60145
74,8485.37548
75,8682.36978
76,11628.28632
77,7518.3265
78,7911.27485
79,8285.78327
80,12582.7412
81,7917.94076
82,8707.6799
83,8196.55343
84,12379.05791
85,8116.72114
86,7575.2678
87,8187.43737
88,10341.60542
89,7452.33857
90,7901.35786
91,8891.93463
92,10700.78966
93,8215.61863
94,8139.50874
95,7943.87206
96,11500.17484
97,7920.45646
98,9173.21596
99,8616.17301
100,11178.0931
101,7702.10764
102,9038.19262
103,8107.28248
104,11180.17404
105,7943.51272
106,7684.97369
107,7543.22295
108,10750.22616
109,7982.55709
110,7789.94865
111,7931.87641
112,11027.38368
113,7610.66205
114,8206.51853
