x,Q18148
0,1090
1,1070
2,1470
3,2290
4,1840
5,2490
6,1850
7,3170
8,4060
9,4120
10,3870
11,3760
12,3380
13,3990
14,3090
15,4350
16,4030
17,4440
18,3750
19,4280
20,3610
21,4450
22,4850
23,5290
24,4440
25,3260
26,4250
27,4600
28,3780
29,4490
30,4700
31,5930
32,5090
33,3630
34,5720
35,2470
36,2470
37,1490
38,3330
39,3150
40,2830
41,1880
42,3050
43,2770
44,1620
45,7230
46,2740
47,4710
48,3300
49,2640
50,3810
51,2500
52,2850
53,2340
54,2190
55,2390
56,3410
57,3800
58,6540
59,4270
60,6050
61,2090
62,6300
63,3410
64,4980
65,8690
66,8800
67,8610
68,9130
69,7960
70,9230
