x,Q7774
0,4094.04817
1,4063.87672
2,4066.48756
3,4047.26647
4,4028.23884
5,4097.77498
6,3984.50833
7,4136.45903
8,4109.65021
9,4154.13686
10,4102.23715
11,4179.41292
12,4177.46099
13,4173.57175
14,4195.24907
15,4192.74767
16,4172.44315
17,3987.2156
18,4150.22914
19,4220.69714
20,4181.58202
21,4195.5476
22,4206.26352
23,4155.09401
24,4161.62134
25,4200.5743
26,4145.63142
27,4169.00405
28,4225.75142
29,4220.9788
30,4192.54157
31,4162.39489
32,4214.08483
33,4136.46463
34,4218.18734
35,4274.59912
36,4171.31866
37,4345.92746
38,4280.0809
39,4310.81784
40,4100.22643
41,4203.54875
42,4259.92864
43,4277.30475
44,4250.39805
45,4301.88217
46,4183.90674
47,4090.54985
48,4121.04096
49,4241.94048
50,4141.40716
51,4213.95185
52,4082.22202
53,4266.33766
54,4138.01023
55,4155.98636
56,4129.96503
57,4269.99596
58,4253.90084
59,4303.41169
60,4158.36692
61,4201.89091
62,4211.30093
63,4251.53638
64,4184.49869
65,4189.15712
66,4155.75999
67,4185.9436
68,4204.27021
69,4220.13954
70,4215.79187
71,4118.54342
72,4139.48134
73,4168.89607
74,4185.62907
75,4162.36835
76,4134.38196
77,4238.67295
78,4019.57565
79,4125.99338
80,4076.22343
81,4206.77338
82,4074.38927
83,4139.6063
84,4051.56139
85,4117.93563
86,4217.52101
87,4122.3941
88,4139.08302
89,4159.02819
90,4068.33099
91,4087.19683
92,4084.18001
93,4118.96681
94,4099.58299
95,4092.53089
96,4050.30782
97,4033.61375
98,3980.20063
99,4068.02177
100,4127.98466
101,4082.23597
102,4078.62302
103,4079.90189
104,4027.97186
105,4118.64897
106,4097.6163
107,4024.2889
108,3942.23724
109,4077.8664
110,4087.28435
111,4030.36856
112,4041.04769
113,4015.84668
114,3958.97639
