x,Q2002
0,11870
1,12230
2,11740
3,13310
4,10560
5,10120
6,11870
7,3530
8,2650
9,2480
10,2320
11,2470
12,1630
13,1330
14,1300
15,3440
16,7950
17,5730
18,6280
19,7150
20,8410
21,7780
22,6540
23,5540
24,4990
25,6010
26,7390
27,7220
28,11340
29,11810
30,14500
31,17910
32,9920
33,10180
34,11480
35,8860
36,6810
37,10730
38,6620
39,6870
40,8520
41,9900
42,9470
43,8470
44,8560
45,10360
46,11740
47,8820
48,9550
49,14380
50,11930
51,12500
52,10670
53,12130
54,5960
55,5380
56,4460
57,4690
58,4880
59,3980
60,7900
61,9000
62,6630
63,6160
64,8030
65,8860
66,9610
67,9750
68,7900
69,6780
70,8970
71,6480
72,7240
73,9480
74,7360
75,7370
76,7270
77,11410
78,10470
79,11460
80,12810
81,19470
82,15080
83,15460
84,8900
85,7270
86,6240
87,7080
88,6100
89,8170
90,6880
91,7000
92,7020
93,8890
94,7910
95,11570
96,11310
97,11120
98,9300
99,12300
100,14120
101,13420
102,14360
103,13060
104,10660
105,12250
106,7440
107,7020
108,6850
109,5990
110,4600
111,4910
112,4490
113,4850
114,5230
115,3990
116,4120
117,4330
118,5700
119,4610
120,4110
121,4630
122,4260
123,10120
124,5370
125,6330
126,5750
127,4690
128,6510
129,5350
130,2900
131,8010
132,4490
133,7210
134,4690
135,4900
136,6630
137,8490
138,3510
139,5500
140,6590
141,6320
142,5820
143,12410
144,8390
145,7820
146,6960
147,5440
148,6990
149,6290
150,7570
151,12180
152,11880
153,14210
154,5350
155,9240
156,9860
157,12110
158,8600
159,13520
160,10940
161,12920
162,9560
163,7800
164,7060
165,7870
166,10930
167,10590
168,8260
169,7270
