x,Q15697
0,1446.973
1,1484.837
2,1578.144
3,1573.143
4,1585.027
5,1534.628
6,1630.283
7,1558.707
8,1675.991
9,1464.776
10,1568.009
11,1776.67
12,1591.344
13,1683.131
14,1679.83
15,1635.736
16,1656.774
17,1733.087
18,1685.503
19,1719.86
20,1754.798
21,1726.246
22,1742.302
23,1835.209
24,1791.1
25,1769.996
26,1776.626
27,1873.048
28,1831.973
29,1839.128
30,1848.681
31,1819.733
32,1790.809
33,1824.541
34,1862.575
35,1812.87
36,1912.583
37,1860.983
38,1891.427
39,1888.894
40,1977.574
41,1857.004
42,1905.754
43,2005.484
44,2011.576
45,2048.443
46,2094.341
47,2004.156
48,2125.018
49,2102.555
50,2062.367
51,2034.497
52,2031.527
53,2167.021
54,2200.084
55,2216.498
56,2231.861
57,2293.495
58,2244.107
59,2297.589
60,2091.487
61,2269.574
62,2255.447
63,2286.713
64,2199.495
65,2295.811
66,2331.581
67,2386.939
68,2378.387
69,2341.938
70,2223.627
71,2411.153
72,2421.27
73,2420.279
74,2659.804
75,2533.049
76,2543.79
77,2472.89
78,2446.888
79,2373.758
80,2481.409
81,2466.184
82,2418.002
83,2428.757
84,2604.089
85,2528.087
86,2449.876
87,2353.761
88,2478.292
89,2558.403
90,2482.56
91,2563.034
92,2459.256
93,2439.572
94,2547.047
95,2408.825
96,2422.707
97,2482.438
98,2517.29
99,2543.212
100,2595.854
101,2427.787
102,2538.605
103,2562.145
104,2633.521
105,2676.103
106,2653.985
107,2751.227
108,2764.308
109,2632.537
110,2586.04
111,2705.184
112,2710.056
113,2865.854
114,2903.306
115,2756.363
116,2819.207
117,2890.496
118,2943.433
119,2921.912
120,2893.862
121,2975.125
122,2875.216
123,2914.796
124,2923.042
125,2883.777
126,3101.499
127,2956.422
128,2967.262
129,2926.612
130,2945.002
131,3120.752
132,3055.919
133,3069.809
134,3245.219
135,3254.639
136,3189.177
137,3016.064
138,3052.176
139,3122.655
140,2920.725
141,2918.735
142,2941.704
143,2911.395
144,2935.261
145,2844.627
146,2955.843
147,2889.457
148,2910.303
149,3135.326
150,3041.723
151,2967.372
152,2965.788
153,3106.52
154,3097.997
155,2873.205
156,3050.187
157,3092.029
158,3056.715
159,2990.034
160,3125.747
161,3033.784
162,3050.245
163,3257.49
164,3459.907
165,3321.903
166,3307.488
167,3270.73
168,3373.425
169,3471.177
170,3327.631
171,3330.342
172,3241.55
173,3474.114
174,3040.03
175,3758.199
176,3548.719
177,3390.139
178,3505.53
179,3709.339
180,3583.925
181,3574.409
182,3628.21
183,3737.063
184,3677.546
185,3810.265
186,3589.514
187,3573.259
188,3665.723
189,3663.158
190,3629.486
191,3726.146
192,3559.603
193,3567.314
194,3596.646
195,4107.568
196,3942.575
197,3856.984
198,4018.383
199,4046.116
200,3707.063
201,4192.093
202,4751.186
203,4046.661
204,4115.421
205,4208.515
206,4341.319
207,4357.087
208,4320.13
209,4320.387
210,4547.678
211,4969.838
212,4857.189
213,4523.399
214,4613.824
215,4540.357
216,4832.09
217,4865.847
218,4762.298
219,4714.805
220,4888.914
221,4952.36
222,4927.816
223,5239.001
224,5143.004
225,5218.579
226,5354.38
227,5411.45
228,5481.627
229,5287.473
230,5479.999
231,5336.514
232,5088.117
233,5057.148
234,5053.328
235,5178.874
236,4692.245
237,5072.147
238,4860.453
239,5149.075
240,4965.548
241,5131.514
242,4830.775
243,4668.598
244,4855.603
245,4913.514
246,4995.181
247,4519.386
248,4844.877
249,5034.238
250,4950.781
251,4780.579
252,4850.771
253,5016.493
254,5043.406
255,5024.789
256,5160.865
257,5092.152
258,5073.925
259,4661.428
260,5177.42
261,5232.696
262,5420.448
263,5425.631
264,5467.232
265,5515.412
266,5402.234
267,5602.267
268,5641.32
269,5713.245
270,5659.932
271,5718.884
272,5960.291
273,5892.509
274,5973.576
275,5892.53
276,6086.102
277,5928.139
278,5959.308
279,6015.784
280,6019.793
281,6076.171
282,6100.847
283,6134.906
284,6170.459
285,6032.941
286,6457.072
287,6389.267
288,6145.469
289,5961.261
290,6512.47
291,6452.647
292,6432.87
293,6417.484
294,6120.849
295,6971.32
296,6655.744
297,6739.854
298,6823.289
299,6872.044
300,7062.134
301,6890.262
302,6950.088
303,6859.579
304,6848.779
305,6970.367
306,6915.588
307,6652.803
308,6643.946
309,7113.098
310,7071.726
311,7130.666
312,6995.05
313,7372.385
314,7103.682
315,7267.376
316,7320.034
317,6977.102
318,7104.626
319,6681.347
320,7424.235
321,7358.369
322,7347.335
323,7330.464
324,7669.386
325,7379.858
326,7898.063
327,7718.945
328,7231.168
329,7929.536
330,7878.244
331,7439.01
332,7727.132
333,7847.985
334,7780.445
335,7987.65
336,7948.748
337,8144.941
338,8049.213
339,7882.025
340,7710.232
341,8009.663
342,7739.194
343,7540.084
344,7916.595
345,7925.253
346,7869.096
347,7989.855
348,8050.386
349,8197.943
350,7700.146
351,7783.135
352,8025.5
353,7876.455
354,8348.811
355,8261.789
356,8268.729
357,7962.552
358,8386.047
359,8022.385
360,8010.378
361,7874.651
362,8266.402
363,8130.975
364,8235.722
365,8239.749
366,8068.924
367,8294.92
368,7830.634
369,8312.821
370,8023.116
371,8130.826
372,8154.333
373,8485.342
374,8575.362
375,8809.789
376,8648.85
377,8802.242
378,8576.775
379,8893.105
380,9135.09
381,9031.836
382,9240.803
383,9196.267
384,8837.651
385,9173.636
386,9016.913
387,9305.512
388,9260.197
389,9403.931
390,9449.424
391,9077.352
392,9301.099
393,9192.68
394,9361.401
395,9620.258
