x,Q5109
0,516.4
1,516.4
2,516.4
3,519.1
4,521.8
5,524.5
6,526.5
7,528.4
8,530.4
9,533.1
10,535.9
11,538.6
12,544.9
13,551.3
14,557.6
15,562.6
16,567.5
17,572.5
18,577.6
19,582.6
20,587.7
21,590.5
22,593.4
23,596.2
24,601
25,605.9
26,610.7
27,614.4
28,618.1
29,621.8
30,629.7
31,637.5
32,645.4
33,650.5
34,655.5
35,660.6
36,676.4
37,676.4
38,676.4
39,689
40,701.7
41,714.3
42,723.3
43,732.4
44,741.4
45,793
46,844.7
47,896.3
48,894.6
49,892.8
50,891.1
51,904.1
52,917.2
53,930.2
54,939.6
55,948.9
56,958.3
57,964.9
58,971.6
59,978.2
60,980.8
61,983.5
62,986.1
63,1000.1
64,1014.2
65,1028.2
66,1036.5
67,1044.8
68,1053.1
69,1054.9
70,1056.6
71,1058.4
72,1064.9
73,1071.5
74,1078
75,1091.2
76,1104.5
77,1117.7
78,1124.1
79,1130.4
80,1136.8
81,1140.4
82,1144.1
83,1147.7
84,1154.2
85,1160.8
86,1167.3
87,1182.2
88,1197.2
89,1212.1
90,1215.9
91,1219.6
92,1223.4
93,1231.3
94,1239.1
95,1247
96,1253.5
97,1260
98,1266.5
99,1283.2
100,1299.9
101,1316.6
102,1326.4
103,1336.1
104,1345.9
105,1352.4
106,1359
107,1365.5
108,1367.6
109,1369.7
110,1371.8
111,1391.1
112,1410.3
113,1429.6
114,1442
115,1454.4
116,1466.8
117,1474.6
118,1482.5
119,1490.3
120,1496.4
121,1502.5
122,1508.6
123,1534.6
124,1560.6
125,1586.6
126,1608.5
127,1630.4
128,1652.3
129,1668.9
130,1685.4
131,1702
132,1714.4
133,1726.9
134,1739.3
135,1779.2
136,1819.2
137,1859.1
138,1883.5
139,1907.9
140,1932.3
141,1955.1
142,1977.9
143,2000.7
144,2014.9
145,2029.2
146,2043.4
147,2087.8
148,2132.2
149,2176.6
150,2197.1
151,2217.5
152,2238
153,2259.6
154,2281.2
155,2302.8
156,2308.2
157,2313.6
158,2319
159,2338.5
160,2358
161,2377.5
162,2387.6
163,2397.7
164,2407.8
165,2421.8
166,2435.9
167,2449.9
168,2466.7
169,2483.4
170,2500.2
171,2503.6
172,2507
173,2510.4
174,2522.7
175,2535.1
176,2547.4
177,2542.8
178,2538.2
179,2533.6
180,2565.6
181,2597.6
182,2629.6
183,2642.7
184,2655.8
185,2668.9
186,2672.5
187,2676.1
188,2679.7
189,2680.8
190,2682
191,2683.1
192,2716.3
193,2749.6
194,2782.8
195,2781.6
196,2780.4
197,2779.2
198,2805.1
199,2831
200,2856.9
201,2876.5
202,2896.1
203,2915.7
204,2958.8
205,3001.9
206,3045
207,3072.6
208,3100.3
209,3127.9
210,3151.4
211,3174.9
212,3198.4
213,3194.4
214,3190.3
215,3186.3
216,3213.2
217,3240
218,3266.9
219,3289.3
220,3311.7
221,3334.1
222,3360.1
223,3386.2
224,3412.2
225,3407.4
226,3402.6
227,3397.8
228,3370.3
229,3342.8
230,3315.3
231,3312.4
232,3309.6
233,3306.7
234,3305.7
235,3304.6
236,3303.6
237,3293.3
238,3282.9
239,3272.6
240,3305.4
241,3338.3
242,3371.1
243,3383.2
244,3395.4
245,3407.5
246,3416.1
247,3424.6
248,3433.2
249,3431.8
250,3430.5
251,3429.1
252,3455.2
253,3481.2
254,3507.3
255,3525.2
256,3543.1
257,3561
258,3586.2
259,3611.4
260,3636.6
261,3664.5
262,3692.3
263,3720.2
264,3764
265,3807.8
266,3851.6
267,3869.5
268,3887.5
269,3905.4
270,3927.1
271,3948.8
272,3970.5
273,3987.2
274,4003.8
275,4020.5
276,4085.1
277,4149.8
278,4214.4
279,4276.5
280,4338.5
281,4400.6
282,4401.6
283,4402.5
284,4403.5
285,4412.9
286,4422.4
287,4431.8
288,4476.3
289,4520.7
290,4565.2
291,4653.5
292,4741.9
293,4830.2
294,4832
295,4833.7
296,4835.5
297,4807.1
298,4778.6
299,4750.2
300,4775.8
301,4801.5
302,4827.1
303,4876.6
304,4926.1
305,4975.6
306,4991.5
307,5007.4
308,5023.3
309,5048.2
310,5073.1
311,5098
312,5125
313,5151.9
314,5178.9
315,5205.6
316,5232.4
317,5259.1
318,5278.4
319,5297.8
320,5317.1
321,5314.4
322,5311.8
323,5309.1
324,5316.8
325,5324.6
326,5332.3
327,5352.6
328,5373
329,5393.3
330,5442.3
331,5491.4
332,5540.4
333,5549.1
334,5557.8
335,5566.5
336,5559.5
337,5552.5
338,5545.5
339,5537.2
340,5528.8
341,5520.5
342,5509.5
343,5498.4
344,5487.4
345,5486.3
346,5485.3
347,5484.2
348,5514.8
349,5545.3
350,5575.9
351,5569.5
352,5563.2
353,5556.8
354,5552.3
355,5547.7
356,5543.2
357,5363.6
358,5183.9
359,5004.3
360,5006.8
361,5009.3
362,5011.8
363,5010.3
364,5008.9
365,5007.4
366,5010
367,5012.5
368,5015.1
369,5003.1
370,4991.2
371,4979.2
372,5002.4
373,5025.6
374,5048.8
375,5044.6
376,5040.4
377,5036.2
378,5019.2
379,5002.1
380,4985.1
381,4984.5
382,4984
383,4983.4
384,4994.8
385,5006.1
386,5017.5
387,5050.1
388,5082.8
389,5115.4
390,5116.7
391,5117.9
392,5119.2
393,5142.4
394,5165.7
395,5188.9
396,5135.9
397,5083
398,5030
399,5043
400,5055.9
401,5068.9
402,5084.2
403,5099.6
404,5114.9
405,5129.1
406,5143.3
407,5157.5
408,5143.6
409,5129.7
410,5115.8
411,5134.8
412,5153.9
413,5172.9
414,5168.6
415,5164.3
416,5160
417,5184.2
418,5208.5
419,5232.7
420,5159.1
421,5085.4
422,5011.8
423,5022.9
424,5034
425,5045.1
426,5054.7
427,5064.2
428,5073.8
429,5090.9
430,5108.1
431,5125.2
432,5097.9
433,5070.7
434,5043.4
435,5040.4
436,5037.5
437,5034.5
438,5046
439,5057.5
440,5069
441,5103.7
442,5138.3
443,5173
444,5147.8
445,5122.6
446,5097.4
447,5133.3
448,5169.2
449,5205.1
450,5192.5
451,5179.9
452,5167.3
453,5189.4
454,5211.6
455,5233.7
456,5215.5
457,5197.2
458,5179
459,5176.6
460,5174.3
461,5171.9
462,5181.5
463,5191.1
464,5200.7
465,5211.6
466,5222.6
467,5233.5
468,5217.4
469,5201.2
470,5185.1
471,5159.9
472,5134.8
473,5109.6
474,5135.9
475,5162.1
476,5188.4
477,5182.1
478,5175.8
479,5169.5
480,5132.1
481,5094.7
482,5057.3
483,5052.6
484,5047.8
485,5043.1
486,5011.2
487,4979.4
488,4947.5
489,4947.9
490,4948.4
491,4948.8
492,4977
493,5005.3
494,5033.5
495,5040.6
496,5047.7
497,5054.8
498,5075.7
499,5096.5
500,5117.4
501,5169.5
502,5221.7
503,5273.8
504,5271.5
505,5269.1
506,5266.8
507,5350.3
508,5433.7
509,5517.2
510,5537.6
511,5558
512,5578.4
513,5612.8
514,5647.2
515,5681.6
516,5733.2
517,5784.7
518,5836.3
519,5837.2
520,5838.1
521,5839
522,5885.4
523,5931.8
524,5978.2
525,5996.1
526,6013.9
527,6031.8
528,6045.3
529,6058.8
530,6072.3
531,6028.4
532,5984.6
533,5940.7
534,6011.3
535,6081.9
536,6152.5
537,6193.6
538,6234.8
539,6275.9
540,6358.4
541,6440.8
542,6523.3
543,6536
544,6548.8
545,6561.5
546,6591.6
547,6621.8
548,6651.9
549,6668.3
550,6684.6
551,6701
552,6685.4
553,6669.7
554,6654.1
555,6614
556,6573.9
557,6533.8
558,6559.7
559,6585.6
560,6611.5
561,6617.9
562,6624.2
563,6630.6
564,6679.4
565,6728.3
566,6777.1
567,6856.9
568,6936.8
569,7016.6
570,7032.3
571,7048
572,7063.7
573,7054.4
574,7045.2
575,7035.9
576,7040.2
577,7044.6
578,7048.9
579,7054.1
580,7059.3
581,7064.5
582,7083.5
583,7102.5
584,7121.5
585,7152.1
586,7182.8
587,7213.4
588,7482.1
589,7750.8
590,8019.5
591,8045.6
592,8071.6
593,8097.7
594,8101.8
595,8105.8
596,8109.9
597,8128.8
598,8147.6
599,8166.5
600,8188.6
601,8210.7
602,8232.8
603,8235.2
604,8237.5
605,8239.9
606,8234.5
607,8229
608,8223.6
609,8221.9
610,8220.2
611,8218.5
612,8219.8
613,8221
614,8222.3
615,8221.3
616,8220.3
617,8219.3
618,8240.8
619,8262.2
620,8283.7
621,8303.9
622,8324.1
623,8344.3
624,8331.9
625,8319.6
626,8307.2
627,8351.6
628,8396
629,8440.4
630,8435.9
631,8431.4
632,8426.9
633,8427.4
634,8427.9
635,8428.4
636,8448.6
637,8468.9
638,8489.1
639,8531
640,8573
641,8614.9
642,8637.9
643,8660.8
644,8683.8
645,8680.3
646,8676.7
647,8673.2
648,8696.7
649,8720.1
650,8743.6
651,8782.2
652,8820.9
653,8859.5
654,8898.1
655,8936.8
656,516.4
657,524.5
658,530.4
659,538.6
660,557.6
661,572.5
662,587.7
663,596.2
664,610.7
665,621.8
666,645.4
667,660.6
668,676.4
669,714.3
670,741.4
671,896.3
672,891.1
673,930.2
674,958.3
675,978.2
676,986.1
677,1028.2
678,1053.1
679,1058.4
680,1078
681,1117.7
682,1136.8
683,1147.7
684,1167.3
685,1212.1
686,1223.4
687,1247
688,1266.5
689,1316.6
690,1345.9
691,1365.5
692,1371.8
693,1429.6
694,1466.8
695,1490.3
696,1508.6
697,1586.6
698,1652.3
699,1702
700,1739.3
701,1859.1
702,1932.3
703,2000.7
704,2043.4
705,2176.6
706,2238
707,2302.8
708,2319
709,2377.5
710,2407.8
711,2449.9
712,2500.2
713,2510.4
714,2547.4
715,2533.6
716,2629.6
717,2668.9
718,2679.7
719,2683.1
720,2782.8
721,2779.2
722,2856.9
723,2915.7
724,3045
725,3127.9
726,3198.4
727,3186.3
728,3266.9
729,3334.1
730,3412.2
731,3397.8
732,3315.3
733,3306.7
734,3303.6
735,3272.6
736,3371.1
737,3407.5
738,3433.2
739,3429.1
740,3507.3
741,3561
742,3636.6
743,3720.2
744,3851.6
745,3905.4
746,3970.5
747,4020.5
748,4214.4
749,4400.6
750,4403.5
751,4431.8
752,4565.2
753,4830.2
754,4835.5
755,4750.2
756,4827.1
757,4975.6
758,5023.3
759,5098
760,5178.9
761,5259.1
762,5317.1
763,5309.1
764,5332.3
765,5393.3
766,5540.4
767,5566.5
768,5545.5
769,5520.5
770,5487.4
771,5484.2
772,5575.9
773,5556.8
774,5543.2
775,5004.3
776,5011.8
777,5007.4
778,5015.1
779,4979.2
780,5048.8
781,5036.2
782,4985.1
783,4983.4
784,5017.5
785,5115.4
786,5119.2
787,5188.9
788,5030
789,5068.9
790,5114.9
791,5157.5
