x,Q19637
0,7800
1,7500
2,7300
3,7200
4,6900
5,6900
6,6800
7,6700
8,6600
9,6600
10,6500
11,5900
12,5900
13,5800
14,5700
15,5300
16,5200
17,5100
18,5100
19,5200
20,5200
21,5000
22,5000
23,4900
24,4800
25,4900
26,4900
27,5000
28,5100
29,5100
30,5100
31,5100
32,5100
33,4900
34,4800
35,4800
36,4800
37,4700
38,4600
39,4500
40,4500
41,4500
42,4600
43,4400
44,4200
45,4200
46,4100
47,4300
48,4300
49,4300
50,4100
51,4300
52,4300
53,4100
54,4100
55,4100
56,4100
57,4200
58,4200
59,4200
60,4200
61,4400
62,4400
63,4400
64,4500
65,4400
66,4300
67,4200
68,4200
69,4200
70,4000
71,3300
72,3200
73,3200
74,3400
75,3200
76,3300
77,3400
78,3500
79,3500
80,3500
81,3600
82,3600
83,3800
84,3800
85,3700
86,3800
87,3800
88,3800
89,3700
90,3700
91,3800
92,3800
93,3800
94,3800
95,3700
96,3700
97,3700
98,3700
99,3700
100,3500
101,3500
102,3400
103,3400
104,3300
105,3300
106,3100
107,3100
108,3100
109,3100
110,3100
111,3100
112,3100
113,3100
114,3000
115,2900
116,2800
117,2500
118,2500
119,2500
120,2500
121,2500
122,2500
