x,Q18496
0,938
1,901.5
2,934.6
3,910.9
4,853.1
5,915.4
6,890.3
7,880
8,890.6
9,905
10,837.7
11,889.8
12,899.2
13,909.6
14,891
15,885.9
16,915.3
17,874.1
18,870.2
19,834.8
20,820.7
21,859.4
22,825.6
23,869
24,854.2
25,860.5
26,869.1
27,839.5
28,891.2
29,885.8
30,857.9
31,862.6
32,897.7
33,895.6
34,880.6
35,902.1
36,907.9
37,921.3
38,930.8
39,926.5
40,951.5
41,941.7
42,969.1
43,954.4
44,993.3
45,992.2
46,991.5
47,1000
48,1007
49,1035.6
50,1012.7
51,1047.9
52,1057.3
53,1071.9
54,1054.6
55,1078.1
56,1076.4
57,1113.2
58,1119.8
59,1112.4
60,1104.1
61,1143.8
62,1139.7
63,1126.5
64,1141.2
65,1168
66,1171.4
67,1164.1
68,1173.9
69,1173.2
70,1193.3
71,1199.7
72,1221.2
73,1225.6
74,1241.9
75,1254.9
76,1262.4
77,1284.8
78,1303.6
79,1285.9
80,1324
81,1326.8
82,1321.4
83,1370.2
84,1377.2
85,1417.1
86,1444.3
87,1418.1
88,1475.8
89,1498.2
90,1539.5
91,1574
92,1612.7
93,1617.1
94,1672.7
95,1678.2
96,1699.9
97,1721.9
98,1748.7
99,1767.1
100,1815.5
101,1799
102,1806
103,1818.7
104,1836.2
105,1806.9
106,1848
107,1820.6
108,1816.1
109,1855.4
110,1817.2
111,1815.1
112,1781.3
113,1788.2
114,1828.9
115,1766.4
116,1814.9
117,1824.3
118,1885.6
119,1841.9
120,1845.7
121,1891.1
122,1874.2
123,1943.1
124,1860.4
125,1866.9
