x,Q15444
0,420
1,570
2,450
3,490
4,470
5,640
6,470
7,520
8,530
9,720
10,470
11,570
12,570
13,720
14,530
15,640
16,620
17,820
18,610
19,680
20,670
21,880
22,660
23,750
24,740
25,930
26,720
27,800
28,790
29,1000
30,780
31,820
32,850
33,1010
34,830
35,880
36,900
37,1100
38,880
39,900
40,880
41,1140
42,890
43,960
44,940
45,1100
46,940
47,1040
48,990
49,1240
50,970
51,1000
52,940
53,1290
54,970
55,1040
56,1040
57,1300
58,950
59,980
60,990
61,1220
62,1040
63,1060
64,1070
65,1280
66,1010
67,1150
68,1130
69,1390
70,1160
71,1200
72,1160
73,1480
74,1260
75,1360
76,1320
77,1620
78,1350
79,1400
80,1460
81,1850
82,1520
83,1530
84,1560
85,1910
86,1560
87,1580
88,1640
89,1970
90,1630
91,1670
92,1720
93,2050
94,1710
95,1820
96,1840
97,2220
98,1840
99,1860
100,1880
101,2280
102,1840
103,1920
104,1900
105,2230
106,1760
107,1750
108,1770
109,2060
110,1620
111,1600
112,1690
113,1920
114,1540
115,1540
116,1540
117,1730
118,1440
119,1430
120,1550
121,1990
122,1640
123,1660
124,1730
125,2100
