id,low,hi,m,q,costQRMSE
0,0,7,-24.6429,5760,60.8072
369,6,13,-44.8095,5907.69,51.4134
427,7,14,-43.7738,5885.75,47.823
484,8,15,-49.7262,5952.23,45.9376
805,14,21,-40.1905,5761.58,70.5852
855,15,22,-29.4167,5567.83,70.9888
904,16,23,-19.25,5367,52.1974
1178,22,30,-42.5667,5919.18,95.3536
1219,23,30,-45.1071,5989.46,96.5629
1260,24,31,-56.9048,6301.63,107.499
1519,31,38,-79.8571,6917.82,44.0996
1552,32,39,-70.5714,6593.04,44.7645
1674,36,43,-1.35714,4015.86,113.552
1780,40,47,-58.3929,6401.21,73.1396
1827,42,49,-74.1786,7094,56.0555
1870,44,51,-64.3929,6649.54,68.1655
1910,46,54,-68.85,6853.5,82.3866
1944,48,55,-55.5595,6174.44,82.978
2035,55,62,-73,7227.5,50.3626
2045,56,64,-77.3333,7493.56,31.6415
2079,63,70,-73.9762,7208.17,125.092
