id,low,hi,m,q,costAIC
0,0,7,-24.6429,5760,62.4056
427,7,14,-43.7738,5885.75,58.5623
484,8,15,-49.7262,5952.23,57.9188
754,13,20,-50.8095,5938.61,62.7878
904,16,23,-19.25,5367,59.9628
1134,21,28,-42.3333,5900.42,69.575
1260,24,31,-56.9048,6301.63,71.5219
1414,28,35,-95.1786,7439.25,65.8245
1519,31,38,-79.8571,6917.82,57.2654
1645,35,42,-11.0119,4419.33,76.1539
1755,39,46,-38.0238,5503.76,75.2456
1927,47,54,-68.1429,6816.96,67.7086
2035,55,62,-73,7227.5,59.3902
2079,63,70,-73.9762,7208.17,73.9471
