x,N2773
0,5736.25
1,5743.8
2,5766.4
3,5766.55
4,5761.7
5,5748.25
6,5766.0
7,5764.55
8,5795.25
9,5807.25
10,5806.75
11,5817.7
12,5834.1
13,5844.1
14,5861.0
15,5865.8
16,5876.4
17,5904.2
18,5906.45
19,5907.5
20,5919.75
21,5925.8
22,5931.7
23,5930.55
24,5942.25
25,5956.1
26,5963.5
27,5966.8
28,6000.4
29,5982.2
30,5995.1
31,6015.9
32,6000.55
33,6025.45
34,6027.0
35,6036.45
36,6048.45
37,6057.8
38,6045.65
39,6062.55
40,6053.55
41,6073.65
42,6083.25
43,6106.25
44,6098.0
45,6110.3
46,6131.85
47,6131.1
48,6169.5
49,6156.75
50,6161.35
51,6178.25
52,6173.7
53,6199.75
54,6198.35
55,6208.3
56,6197.2
57,6210.55
58,6231.85
59,6224.85
60,6291.65
61,6285.5
62,6290.05
63,6282.45
64,6294.65
65,6278.65
66,6286.6
67,6299.5
68,6294.6
69,6299.75
70,6303.5
71,6307.1
72,6297.75
73,6301.0
74,6311.9
75,6327.4
76,6308.8
77,6316.55
78,6307.7
79,6307.5
80,6332.5
81,6332.1
82,6335.05
83,6333.2
84,6363.05
85,6360.35
86,6380.2
87,6392.05
88,6405.95
89,6422.95
90,6428.15
91,6430.65
92,6425.05
93,6401.3
94,6422.05
95,6427.7
96,6420.0
97,6422.9
98,6429.9
99,6429.2
100,6463.2
101,6470.55
102,6469.85
103,6480.95
104,6463.4
105,6478.65
106,6485.55
107,6497.05
108,6533.6
109,6532.05
110,6530.25
111,6530.65
112,6544.0
113,6529.4
114,6534.0
115,6561.85
116,6567.65
117,6580.6
118,6589.15
119,6588.65
120,6608.5
121,6603.9
122,6619.55
123,6626.45
124,6602.9
125,6598.1
126,6617.1
127,6614.9
128,6625.05
129,6623.65
130,6623.55
131,6617.6
132,6645.15
133,6650.9
134,6682.75
135,6668.05
136,6695.5
137,6683.45
138,
139,
140,
141,
142,
143,
