x,N2598
0,990.0
1,1384.0
2,1350.0
3,716.0
4,2068.0
5,1392.0
6,734.0
7,758.0
8,558.0
9,1620.0
10,3132.0
11,1392.0
12,918.0
13,776.0
14,1348.0
15,502.0
16,1274.0
17,1638.0
18,912.0
19,1250.0
20,1614.0
21,2840.0
22,1150.0
23,1652.0
24,1526.0
25,1412.0
26,882.0
27,848.0
28,820.0
29,1226.0
30,1212.0
31,2110.0
32,1178.0
33,2548.0
34,1568.0
35,2088.0
36,2178.0
37,3016.0
38,5514.0
39,1358.0
40,3604.0
41,1962.0
42,2036.0
43,2246.0
44,3434.0
45,4316.0
46,3032.0
47,5296.0
48,3850.0
49,2098.0
50,3992.0
51,4860.0
52,7336.0
53,9614.0
54,2988.0
55,2756.0
56,3540.0
57,2710.0
58,3730.0
59,3508.0
60,2640.0
61,2788.0
62,3502.0
63,3700.0
64,3250.0
65,4866.0
66,2836.0
67,3498.0
68,3468.0
69,3924.0
70,5738.0
71,7028.0
72,5608.0
73,6030.0
74,11976.0
75,7774.0
76,7906.0
77,10940.0
78,7626.0
79,5930.0
80,6286.0
81,6788.0
82,6932.0
83,6660.0
84,4910.0
85,4182.0
86,3550.0
87,3184.0
88,3872.0
89,3226.0
90,2504.0
91,3648.0
92,4448.0
93,2954.0
94,3842.0
95,3982.0
96,4864.0
97,6796.0
98,5844.0
99,5656.0
100,6118.0
101,7068.0
102,7696.0
103,7016.0
104,5820.0
105,4904.0
106,3860.0
107,7222.0
108,7738.0
109,7142.0
110,13804.0
111,7964.0
112,9716.0
113,8462.0
114,6884.0
115,8072.0
116,7320.0
117,11700.0
118,10792.0
119,10930.0
120,7112.0
121,8196.0
122,16818.0
123,10524.0
124,14878.0
125,13696.0
126,8684.0
127,9260.0
128,11902.0
129,13226.0
130,6896.0
131,10490.0
132,5428.0
133,13564.0
134,6840.0
135,5334.0
136,7996.0
137,7400.0
138,12948.0
139,6792.0
140,7590.0
141,5772.0
142,6016.0
143,4176.0
