x,N2211
0,3257.4
1,3247.6
2,3269.2
3,3295.0
4,3332.6
5,3349.6
6,3381.0
7,3394.6
8,3420.6
9,3475.8
10,3489.2
11,3519.0
12,3559.6
13,3582.2
14,3605.4
15,3649.4
16,3657.6
17,3693.8
18,3722.2
19,3735.4
20,3769.2
21,3773.2
22,3805.6
23,3841.2
24,3851.2
25,3869.6
26,3910.6
27,3913.6
28,3933.2
29,3969.8
30,3970.2
31,3996.4
32,4026.6
33,4049.4
34,4068.2
35,4117.4
36,4113.6
37,4129.4
38,4161.2
39,4153.2
40,4168.4
41,4190.8
42,4207.0
43,4234.8
44,4248.0
45,4283.6
46,4313.4
47,4326.4
48,4362.6
49,4394.8
50,4424.0
51,4439.0
52,4467.8
53,4487.4
54,4513.0
55,4567.2
56,4591.8
57,4620.8
58,4661.2
59,4739.8
60,4708.8
61,4746.2
62,4774.0
63,4817.2
64,4841.4
65,4878.8
66,4922.0
67,4924.6
68,4955.2
69,5015.8
70,5008.8
71,5039.0
72,5082.0
73,5079.2
74,5110.6
75,5141.8
76,5119.4
77,5143.2
78,5186.6
79,5178.6
80,5205.2
81,5267.0
82,5268.0
83,5292.2
84,5331.0
85,5382.8
86,5421.2
87,5466.6
88,5463.0
89,5504.4
90,5532.4
91,5526.6
92,5564.6
93,5541.0
94,5545.8
95,5600.0
96,5568.4
97,5560.4
98,5563.4
99,5566.8
100,5592.2
101,5646.4
102,5620.4
103,5643.6
104,5676.4
105,5680.8
106,5689.8
107,5750.8
108,5729.8
109,5798.4
110,5824.6
111,5833.0
112,5877.4
113,5891.2
114,5908.6
115,5963.2
116,5952.6
117,6005.0
118,6042.2
119,6527.8
120,5941.8
121,5952.6
122,5951.6
123,6136.6
124,6187.6
125,6172.0
126,6203.2
127,6248.6
128,6240.8
129,6275.4
130,6294.2
131,6328.0
132,6389.8
133,6404.4
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
