x,N2011
0,2992.0
1,3256.0
2,4290.0
3,4190.0
4,4080.0
5,4162.0
6,3688.0
7,3846.0
8,3838.0
9,4008.0
10,4254.0
11,3944.0
12,3750.0
13,3596.0
14,4238.0
15,4308.0
16,4350.0
17,4386.0
18,4086.0
19,3878.0
20,4294.0
21,4334.0
22,3944.0
23,4368.0
24,4578.0
25,4242.0
26,5222.0
27,4888.0
28,4878.0
29,4830.0
30,4614.0
31,4800.0
32,4780.0
33,4690.0
34,4360.0
35,4710.0
36,4576.0
37,4634.0
38,3832.0
39,4360.0
40,3616.0
41,3224.0
42,3934.0
43,3610.0
44,4122.0
45,4498.0
46,4212.0
47,4520.0
48,4078.0
49,4068.0
50,5298.0
51,4544.0
52,4448.0
53,4526.0
54,4248.0
55,4142.0
56,4502.0
57,4460.0
58,3930.0
59,3670.0
60,3192.0
61,3606.0
62,3926.0
63,3760.0
64,3950.0
65,3830.0
66,3920.0
67,4002.0
68,4178.0
69,3938.0
70,3820.0
71,3194.0
72,3682.0
73,3920.0
74,4442.0
75,4168.0
76,4202.0
77,4258.0
78,3934.0
79,3922.0
80,4212.0
81,4470.0
82,4498.0
83,4042.0
84,4300.0
85,4522.0
86,4810.0
87,4742.0
88,4780.0
89,4618.0
90,4308.0
91,4418.0
92,4720.0
93,4548.0
94,4058.0
95,4162.0
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
