x,N2263
0,4215.0
1,4245.0
2,4310.0
3,4330.0
4,4455.0
5,4445.0
6,4480.0
7,4530.0
8,4605.0
9,4675.0
10,4655.0
11,4595.0
12,4645.0
13,4675.0
14,4720.0
15,4705.0
16,4710.0
17,4685.0
18,4635.0
19,4655.0
20,4640.0
21,4605.0
22,4575.0
23,4560.0
24,4565.0
25,4555.0
26,4570.0
27,4585.0
28,4575.0
29,4575.0
30,4580.0
31,4590.0
32,4650.0
33,4615.0
34,4580.0
35,4605.0
36,4650.0
37,4670.0
38,4630.0
39,4640.0
40,4690.0
41,4700.0
42,4670.0
43,4755.0
44,4750.0
45,4790.0
46,4775.0
47,4845.0
48,4840.0
49,4875.0
50,4880.0
51,4930.0
52,4970.0
53,4950.0
54,5085.0
55,5035.0
56,5060.0
57,5080.0
58,5130.0
59,5215.0
60,5130.0
61,5145.0
62,5195.0
63,5205.0
64,5190.0
65,5230.0
66,5235.0
67,5235.0
68,5190.0
69,5275.0
70,5285.0
71,5350.0
72,5370.0
73,5330.0
74,5410.0
75,5405.0
76,5385.0
77,5370.0
78,5370.0
79,5365.0
80,5260.0
81,5380.0
82,5350.0
83,5290.0
84,5360.0
85,5415.0
86,5390.0
87,5420.0
88,5400.0
89,5415.0
90,5440.0
91,5425.0
92,5410.0
93,5415.0
94,5380.0
95,5335.0
96,5350.0
97,5305.0
98,5235.0
99,5240.0
100,5295.0
101,5315.0
102,5395.0
103,5410.0
104,5435.0
105,5475.0
106,5420.0
107,5435.0
108,5425.0
109,5490.0
110,5535.0
111,5550.0
112,5560.0
113,5585.0
114,5590.0
115,5530.0
116,5575.0
117,5525.0
118,5585.0
119,5560.0
120,5610.0
121,5605.0
122,5635.0
123,5675.0
124,5685.0
125,5715.0
126,5685.0
127,5730.0
128,5680.0
129,5705.0
130,5765.0
131,5845.0
132,5785.0
133,5815.0
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
