x,N2550
0,2705.82
1,2694.94
2,2670.74
3,2762.52
4,2822.16
5,2803.14
6,2778.76
7,2778.16
8,2788.44
9,2874.84
10,2917.38
11,2916.06
12,2695.18
13,2721.82
14,2688.26
15,2706.32
16,2651.88
17,2526.76
18,2514.38
19,2589.16
20,2615.36
21,2651.12
22,2615.26
23,2655.8
24,2782.36
25,2904.42
26,2808.26
27,2817.8
28,2876.62
29,2846.34
30,2855.28
31,2894.8
32,2950.16
33,2883.22
34,3126.02
35,3409.7
36,3420.62
37,3506.18
38,3349.4
39,3405.22
40,3383.0
41,3409.64
42,3631.52
43,3728.06
44,3754.34
45,3799.12
46,3918.22
47,3922.42
48,3836.7
49,3874.8
50,3795.96
51,3801.72
52,3791.9
53,3728.12
54,3822.44
55,3848.74
56,3867.2
57,3882.5
58,3933.82
59,3923.4
60,4059.6
61,4093.74
62,4051.06
63,4042.2
64,4109.68
65,4063.2
66,4076.68
67,4071.78
68,4083.86
69,4142.9
70,4183.12
71,4016.12
72,4159.52
73,4147.96
74,4182.7
75,4115.5
76,4197.8
77,4247.86
78,4280.28
79,4286.46
80,4274.88
81,4526.78
82,4557.72
83,4466.98
84,4818.48
85,4848.58
86,4718.64
87,4697.24
88,4722.58
89,4777.2
90,4803.42
91,4903.94
92,4902.54
93,4903.24
94,4819.02
95,4778.64
96,4868.9
97,4950.26
98,4986.04
99,5007.32
100,5009.14
101,5065.72
102,5077.58
103,5195.3
104,5276.82
105,5530.64
106,5596.48
107,5651.08
108,5683.88
109,5767.48
110,5871.02
111,5830.94
112,5856.7
113,5975.72
114,6043.8
115,6306.66
116,7568.58
117,6433.18
118,6558.32
119,6495.8
120,6489.62
121,6631.0
122,6808.26
123,6887.96
124,6807.26
125,6868.74
126,6964.78
127,7074.52
128,7162.62
129,7087.18
130,7080.22
131,7194.38
132,7142.26
133,7232.84
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
