x,N2563
0,3348.54
1,3334.62
2,3354.12
3,3365.79
4,3370.62
5,3416.19
6,3447.36
7,3486.39
8,3533.43
9,3573.81
10,3620.7
11,3705.87
12,3711.42
13,3790.11
14,3821.67
15,3866.82
16,3953.04
17,4035.51
18,4067.73
19,4131.24
20,4174.47
21,4206.36
22,4236.03
23,4314.78
24,4300.65
25,4330.8
26,4374.45
27,4424.19
28,4482.9
29,5322.51
30,5377.47
31,5447.16
32,5464.56
33,5477.88
34,5532.06
35,5607.24
36,5586.03
37,5597.97
38,5599.98
39,5651.28
40,5677.92
41,5668.23
42,5699.61
43,5760.54
44,5736.87
45,5722.2
46,5753.79
47,5685.6
48,5600.88
49,5552.46
50,5543.85
51,5574.27
52,5562.3
53,5592.33
54,5631.48
55,5668.17
56,5676.75
57,5672.94
58,5702.7
59,5709.0
60,5718.87
61,5704.47
62,5695.44
63,5747.64
64,5784.72
65,5833.92
66,5869.23
67,5957.52
68,5976.66
69,5983.14
70,6023.07
71,6126.6
72,6710.88
73,6735.72
74,6731.13
75,6789.72
76,6831.06
77,6837.54
78,6872.22
79,6911.85
80,6949.98
81,6984.93
82,6996.27
83,7034.91
84,7000.5
85,6970.38
86,6888.33
87,6915.27
88,6886.98
89,6893.91
90,6920.52
91,6988.41
92,7005.45
93,6987.0
94,6984.39
95,6995.34
96,7005.66
97,6956.37
98,6904.65
99,6945.72
100,6937.98
101,6922.59
102,6901.83
103,6914.37
104,6906.03
105,6907.62
106,6908.58
107,6928.71
108,6874.26
109,6833.61
110,6746.67
111,6707.04
112,6671.43
113,6687.27
114,6663.84
115,6690.15
116,6702.66
117,6737.43
118,6768.78
119,6870.93
120,6892.62
121,6843.15
122,6808.65
123,6834.21
124,6670.56
125,6674.73
126,6656.97
127,6693.27
128,6735.42
129,6753.3
130,6810.24
131,6964.86
132,6997.02
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
