x,N2825
0,3295.5
1,3301.9
2,3244.6
3,3221.2
4,3214.8
5,3193.6
6,3180.9
7,3197.8
8,3210.6
9,3189.3
10,3185.1
11,3146.9
12,3121.4
13,3127.8
14,3083.2
15,3078.9
16,3032.2
17,3008.9
18,2998.2
19,2932.4
20,2915.4
21,2904.8
22,2856.0
23,2885.7
24,2822.0
25,2813.5
26,2862.3
27,2800.8
28,2796.5
29,2764.7
30,2749.8
31,2705.2
32,2692.5
33,2703.1
34,2650.0
35,2643.6
36,2618.2
37,2607.5
38,2645.8
39,2641.5
40,2635.1
41,2616.0
42,2592.7
43,2601.2
44,2616.0
45,2633.0
46,2620.3
47,2624.5
48,2605.4
49,2607.5
50,2609.7
51,2611.8
52,2641.5
53,2641.5
54,2658.5
55,2630.9
56,2601.2
57,2565.1
58,2592.7
59,2571.4
60,2609.7
61,2613.9
62,2607.5
63,2592.7
64,2607.5
65,2575.7
66,2575.7
67,2560.8
68,2548.1
69,2516.2
70,2471.6
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
