x,N1449
0,6340.0
1,3835.0
2,3495.0
3,3735.0
4,4800.0
5,3735.0
6,5085.0
7,4870.0
8,2215.0
9,4845.0
10,3190.0
11,5070.0
12,5430.0
13,3695.0
14,4335.0
15,5270.0
16,4440.0
17,4000.0
18,3595.0
19,4355.0
20,3820.0
21,5375.0
22,2940.0
23,3890.0
24,4195.0
25,3245.0
26,4520.0
27,2665.0
28,3840.0
29,3260.0
30,3140.0
31,3950.0
32,3400.0
33,3390.0
34,5555.0
35,4855.0
36,2050.0
37,2765.0
38,4625.0
39,5080.0
40,2930.0
41,3455.0
42,3965.0
43,2870.0
44,3530.0
45,4765.0
46,3170.0
47,4425.0
48,3650.0
49,4540.0
50,4050.0
51,4280.0
52,4625.0
53,4115.0
54,3405.0
55,4080.0
56,3630.0
57,4605.0
58,3975.0
59,3355.0
60,5275.0
61,3120.0
62,5635.0
63,4545.0
64,4590.0
65,5335.0
66,4855.0
67,4365.0
68,3750.0
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
