x,N2763
0,3000.0
1,2800.0
2,2800.0
3,2900.0
4,2900.0
5,2900.0
6,2700.0
7,2600.0
8,2800.0
9,2800.0
10,2400.0
11,2400.0
12,2400.0
13,2400.0
14,2500.0
15,2400.0
16,2300.0
17,2300.0
18,2100.0
19,2100.0
20,2100.0
21,2100.0
22,2200.0
23,2200.0
24,2300.0
25,2400.0
26,2400.0
27,2500.0
28,2200.0
29,2600.0
30,2600.0
31,2600.0
32,2800.0
33,2900.0
34,3300.0
35,3700.0
36,4500.0
37,4700.0
38,5200.0
39,5600.0
40,5800.0
41,5700.0
42,5400.0
43,5000.0
44,5300.0
45,5200.0
46,4900.0
47,4700.0
48,4100.0
49,4100.0
50,4100.0
51,3900.0
52,4000.0
53,4400.0
54,4500.0
55,4200.0
56,4600.0
57,4400.0
58,4600.0
59,4300.0
60,3800.0
61,4100.0
62,3700.0
63,3600.0
64,3600.0
65,3400.0
66,3400.0
67,3500.0
68,3400.0
69,3700.0
70,3400.0
71,3300.0
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
