x,N2031
0,2870.0
1,2690.0
2,2790.0
3,2650.0
4,3500.0
5,2690.0
6,2790.0
7,2900.0
8,2690.0
9,3110.0
10,3020.0
11,3220.0
12,2860.0
13,3090.0
14,3240.0
15,2830.0
16,4060.0
17,3080.0
18,3120.0
19,3270.0
20,2740.0
21,3190.0
22,3220.0
23,3050.0
24,3180.0
25,2850.0
26,3920.0
27,2690.0
28,3270.0
29,2790.0
30,2500.0
31,2930.0
32,2630.0
33,2590.0
34,2710.0
35,2940.0
36,3230.0
37,3140.0
38,3140.0
39,2600.0
40,3520.0
41,3090.0
42,2760.0
43,2840.0
44,2310.0
45,3440.0
46,2790.0
47,2380.0
48,2210.0
49,2730.0
50,2590.0
51,2580.0
52,2670.0
53,2490.0
54,2570.0
55,3020.0
56,4840.0
57,2590.0
58,3240.0
59,2320.0
60,2590.0
61,2330.0
62,2880.0
63,2620.0
64,3220.0
65,3130.0
66,2790.0
67,3090.0
68,2910.0
69,3770.0
70,3220.0
71,2950.0
72,2930.0
73,3710.0
74,2920.0
75,3000.0
76,3360.0
77,3210.0
78,3100.0
79,3460.0
80,3300.0
81,3060.0
82,3730.0
83,3620.0
84,2800.0
85,3300.0
86,4020.0
87,3000.0
88,3350.0
89,3440.0
90,3430.0
91,3470.0
92,2920.0
93,3170.0
94,3510.0
95,3040.0
96,3320.0
97,2980.0
98,1180.0
99,3010.0
100,3780.0
101,3220.0
102,3590.0
103,3670.0
104,3270.0
105,3260.0
106,4170.0
107,2580.0
108,3960.0
109,3440.0
110,4160.0
111,3320.0
112,3510.0
113,3440.0
114,3620.0
115,3320.0
116,4840.0
117,3400.0
118,3700.0
119,3740.0
120,3450.0
121,3760.0
122,4050.0
123,3760.0
124,3700.0
125,3650.0
126,3760.0
127,4030.0
128,3330.0
129,3920.0
130,3710.0
131,2690.0
132,4940.0
133,3450.0
134,4040.0
135,3630.0
136,3730.0
137,3480.0
138,3180.0
139,4090.0
140,3710.0
141,3940.0
142,3470.0
143,3470.0
